id_medicao;data_medicao;id_projeto
447286;2026-04-17;25644
442746;2026-04-10;25644
442414;2026-04-07;25644
440711;2026-04-02;25644
438254;2026-03-27;25644
435339;2026-03-20;25644
429138;2026-03-13;25644
421323;2026-03-06;25644
417855;2026-02-27;25644
415698;2026-02-20;25644
413419;2026-02-13;25644
411459;2026-02-06;25644
408837;2026-01-30;25644
401891;2026-01-23;25644
399484;2026-01-16;25644
396735;2026-01-09;25644
392307;2025-12-19;25644
390648;2025-12-12;25644
388051;2025-12-05;25644
386521;2025-11-28;25644
384213;2025-11-21;25644
382358;2025-11-14;25644
379118;2025-11-07;25644
376856;2025-10-31;25644
374251;2025-10-24;25644
373359;2025-10-17;25644
371077;2025-10-10;25644
368368;2025-10-03;25644
363912;2025-09-26;25644
362200;2025-09-19;25644
359850;2025-09-12;25644
356448;2025-09-05;25644
354584;2025-08-29;25644
350454;2025-08-22;25644
348244;2025-08-15;25644
346116;2025-08-08;25644
344262;2025-08-01;25644
340753;2025-07-25;25644
340078;2025-07-22;25644
339368;2025-07-18;25644
265623;2025-07-11;25644
247419;2025-07-04;25644
244824;2025-06-27;25644
242342;2025-06-23;25644
242135;2025-06-20;25644
238204;2025-06-06;25644
236094;2025-05-30;25644
231797;2025-05-23;25644
224610;2025-05-16;25644
222700;2025-05-12;25644
216924;2025-04-18;25644
214755;2025-04-11;25644
203777;2025-04-04;25644
201881;2025-03-31;25644
196678;2025-03-21;25644
194733;2025-03-17;25644
191991;2025-03-06;25644
188778;2025-02-21;25644
187763;2025-02-14;25644
186107;2025-02-08;25644
184352;2025-02-03;25644
181980;2025-01-24;25644
180751;2025-01-20;25644
179005;2025-01-13;25644
175081;2024-12-14;25644
173762;2024-12-09;25644
172301;2024-12-02;25644
169031;2024-11-18;25644
168027;2024-11-11;25644
450029;2026-04-24;28377
446055;2026-04-17;28377
442588;2026-04-10;28377
440021;2026-04-03;28377
436842;2026-03-27;28377
434554;2026-03-20;28377
426600;2026-03-13;28377
420833;2026-03-06;28377
419287;2026-02-27;28377
415649;2026-02-20;28377
413907;2026-02-13;28377
411491;2026-02-07;28377
409093;2026-01-30;28377
402244;2026-01-23;28377
400360;2026-01-16;28377
397207;2026-01-09;28377
393356;2025-12-19;28377
391320;2025-12-12;28377
389742;2025-12-05;28377
