id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;color;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;idp;name;name_x;name_y;position;realized;service_id;total_cost
15615;0.0;0.0;417.0;2024-12-27;2023-11-06;#E70302;-7.0;77.0;1.0;340.0;2024-12-20;2024-01-15;0.0;DRY - GUIA E MONTANTE;DRY - GUIA E MONTANTE;DRY - GUIA E MONTANTE;24;1.0;1624651;1087677.5640000012
15615;0.0;0.0;420.0;2025-01-06;2023-11-13;#5A4B66;-17.0;87.0;0.0;333.0;2024-12-20;2024-01-22;0.0;ELE - TUB. ELÉTRICA;ELE - TUB. ELÉTRICA;ELE - TUB. ELÉTRICA;25;0.0;1717060;0.0
15615;0.0;0.0;419.0;2025-01-13;2023-11-21;#02375A;-87.0;93.0;1.0;326.0;2024-10-18;2023-11-27;0.0;HID - KIT HIDRÁULICO;HID - KIT HIDRÁULICO;HID - KIT HIDRÁULICO;26;1.0;1717061;496714.3625000005
15615;0.0;0.0;419.0;2025-01-13;2023-11-21;#540B8E;-87.0;93.0;1.0;326.0;2024-10-18;2023-11-27;0.0;HID - DIST. HIDRÁULICA AÉREA;HID - DIST. HIDRÁULICA AÉREA;HID - DIST. HIDRÁULICA AÉREA;27;1.0;1717062;496714.3625000005
15615;0.0;0.0;419.0;2025-01-13;2023-11-21;#E4061B;-87.0;93.0;1.0;326.0;2024-10-18;2023-11-27;0.0;HID - ARANHAS E FECHAMENTOS;HID - ARANHAS E FECHAMENTOS;HID - ARANHAS E FECHAMENTOS;28;1.0;1717063;496714.3625000005
15615;0.0;0.0;419.0;2025-01-13;2023-11-21;#C22CC2;-87.0;93.0;0.0;326.0;2024-10-18;2023-11-27;0.0;HID - TESTE DE TUBULAÇÃO DE ESGOTO;HID - TESTE DE TUBULAÇÃO DE ESGOTO;HID - TESTE DE TUBULAÇÃO DE ESGOTO;29;0.0;1717064;0.0
15615;0.0;0.0;419.0;2025-01-20;2023-11-28;#0E204F;-31.0;93.0;1.0;326.0;2024-12-20;2024-01-29;0.0;DRY - CHAPEAMNTO;DRY - CHAPEAMNTO;DRY - CHAPEAMNTO;30;1.0;1717065;1631516.3460000006
15615;0.0;0.0;419.0;2025-01-27;2023-12-05;#038723;-17.0;79.0;1.0;340.0;2025-01-10;2024-02-05;0.0;IMP - IMPERMEABILIZAÇÃO DE ÁREA MOLHADA;IMP - IMPERMEABILIZAÇÃO DE ÁREA MOLHADA;IMP - IMPERMEABILIZAÇÃO DE ÁREA MOLHADA;31;1.0;1717067;352393.307
15615;0.0;0.0;419.0;2025-01-27;2023-12-05;#E66503;256.0;-249.0;1.0;668.0;2025-10-10;2023-12-12;0.0;IMP - IMPERMEABILIZAÇÃO DE SACADA/ LAJE TÉCNICA;IMP - IMPERMEABILIZAÇÃO DE SACADA/ LAJE TÉCNICA;IMP - IMPERMEABILIZAÇÃO DE SACADA/ LAJE TÉCNICA;32;1.0;1717068;151025.7029999999
15615;0.0;0.0;419.0;2025-02-03;2023-12-12;#E70302;-17.0;79.0;0.0;340.0;2025-01-17;2024-02-12;0.0;IMP - TESTE DE IMPERMEABILIZAÇÃO;IMP - TESTE DE IMPERMEABILIZAÇÃO;IMP - TESTE DE IMPERMEABILIZAÇÃO;33;0.0;1624650;0.0
15615;0.0;0.0;419.0;2025-02-10;2023-12-19;#0A322A;18.0;44.0;1.0;375.0;2025-02-28;2024-02-19;0.0;CER - REVESTIMENTO CERAMICO BANHO;CER - REVESTIMENTO CERAMICO BANHO;CER - REVESTIMENTO CERAMICO BANHO;34;1.0;1624652;439138.7423
15615;0.0;0.0;418.0;2025-02-17;2023-12-27;#521E7B;18.0;-6.0;1.0;424.0;2025-03-07;2024-01-08;0.0;CER - REVESTIMENTO CERAMICO APTO;CER - REVESTIMENTO CERAMICO APTO;CER - REVESTIMENTO CERAMICO APTO;35;1.0;1717212;2496754.057699999
15615;0.0;0.0;417.0;2025-02-24;2024-01-04;#1B425C;15.0;38.0;1.0;379.0;2025-03-11;2024-02-26;0.0;FOR - FORRO DE GESSO;FOR - FORRO DE GESSO;FOR - FORRO DE GESSO;36;1.0;1624655;181235.6600000001
15615;0.0;0.0;417.0;2025-02-24;2024-01-04;#E4045F;44.0;170.0;0.0;247.0;2025-04-09;2024-08-05;0.0;FOR - FORRO DO HALL;FOR - FORRO DO HALL;FOR - FORRO DO HALL;37;0.0;1717216;0.0
15615;;;;;;#4F2301;;;;;;;;REVESTIMENTO DE GESSO;;;38;;1624654;
15615;0.0;0.0;417.0;2025-03-03;2024-01-11;#9D673F;94.0;-34.0;1.0;451.0;2025-06-05;2024-03-11;0.0;PINT- PINTURA INTERNA 1ª DEMÃO (SELADOR + MASSA CORRIDA);PINT- PINTURA INTERNA 1ª DEMÃO (SELADOR + MASSA CORRIDA);PINT- PINTURA INTERNA 1ª DEMÃO (SELADOR + MASSA CORRIDA);39;1.0;1624663;649144.033335015
15615;0.0;0.0;417.0;2025-03-10;2024-01-18;#025241;88.0;84.0;1.0;333.0;2025-06-06;2024-07-08;0.0;MAD - PORTA DE ENTRADA;MAD - PORTA DE ENTRADA;MAD - PORTA DE ENTRADA;40;1.0;1717218;322465.6394999997
15615;0.0;0.0;417.0;2025-03-10;2024-01-18;#BD5200;43.0;234.0;1.0;183.0;2025-04-22;2024-10-21;0.0;ELE - ENFIAÇÃO ELÉTRICA;ELE - ENFIAÇÃO ELÉTRICA;ELE - ENFIAÇÃO ELÉTRICA;41;1.0;1717219;634871.0618548862
