id_projeto;id_pavimento;nome_pavimento;id_atividade;servico_atividade;unidade_nome;unidade_tipo;unidade_quantidade_max;id_servico;nome_servico;unidade_servico_nome;unidade_servico_tipo;unidade_servico_quantidade_max
15257;616345;QD 37 Casa Existente - Mód II;17317132;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15461326;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15465284;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15481811;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15481867;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15486825;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489698;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489720;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489742;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489787;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489809;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;15489832;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;16293437;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;16327759;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;17316657;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;17316781;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;17316918;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616343;QD 35 Casa Existente - Mód II;17317133;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15461324;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15465282;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15481809;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15481865;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15486823;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489696;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489718;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489740;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489785;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489807;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;15489830;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;16293435;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;16327757;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;17316660;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;17316784;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;17316921;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616341;QD 33 Casa Existente - Mód II;17317136;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15461322;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15465280;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15481807;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15481863;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15486821;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15489694;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15489716;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15489738;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15489783;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616339;QD 31 Casa Existente - Mód II;15489805;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
